tiempo_s,presion_psi,presion_kPa,desplazamiento_mm
5.28,1.084078725,7.474459695562407,0.2980675930273508
5.29,1.0879495,7.501147749723871,0.2996265032845687
5.3,1.09183405,7.527930779167048,0.3011982698678275
5.31,1.0957186,7.554713808610226,0.302771925740502
5.32,1.09960315,7.581496838053404,0.3043474726771864
5.33,1.1034877,7.608279867496581,0.3059249124539729
5.34,1.107386025,7.6351578722214715,0.3075152766847085
5.35,1.111298125,7.662130852228075,0.3090885760441662
5.36,1.115210225,7.689103832234679,0.3106938171223619
5.37,1.119122325,7.716076812241282,0.3123009992400728
5.38,1.1230482,7.7431447675296,0.3139211952932311
5.39,1.126974075,7.7702127228179165,0.3155433567723876
5.4,1.13089995,7.797280678106236,0.3171373665999078
5.41,1.1348396,7.824443608676266,0.3187745472555593
5.42,1.13877925,7.851606539246296,0.3204137197881507
5.43,1.142732675,7.87886444509804,0.3220660092762184
5.44,1.1466861,7.906122350949784,0.3236901180717942
5.45,1.150639525,7.933380256801529,0.3253464231523683
5.46,1.154606725,7.960733137934986,0.3270159035023702
5.47,1.158573925,7.988086019068444,0.3286571708920362
5.48,1.1625549,8.015533875483614,0.3303418965476128
5.49,1.1665221,8.04288675661707,0.3320175043674676
5.5,1.17051685,8.070429588313957,0.3336872400541105
5.51,1.1745116,8.09797242001084,0.3353893660826167
5.52,1.17850635,8.125515251707725,0.3370935882862263
5.53,1.1825011,8.15305808340461,0.3387695326549368
5.54,1.186509625,8.180695890383207,0.3404891734752046
5.55,1.19051815,8.208333697361804,0.3422109381203102
5.56,1.19454045,8.236066479622117,0.3439156542077489
5.57,1.19856275,8.263799261882427,0.3456529361184273
5.58,1.20258505,8.291532044142738,0.3473618930806889
5.59,1.206621125,8.319359801684763,0.3491147548573926
5.6,1.2106572,8.347187559226787,0.3508392771864666
5.61,1.21470705,8.375110292050524,0.3526077927885776
5.62,1.2187569,8.403033024874263,0.3543479544531774
5.63,1.22280675,8.430955757698,0.3561208599005812
5.64,1.226870375,8.458973465803453,0.3579073232213877
5.65,1.230934,8.486991173908903,0.3596653998833193
5.66,1.2350114,8.515103857296069,0.3614676819930325
5.67,1.239075025,8.543121565401519,0.363230180102708
5.68,1.2431662,8.571329224070398,0.3650176643295897
5.69,1.2472436,8.599441907457562,0.3668266899542075
5.7,1.251334775,8.62764956612644,0.3686186756413383
5.71,1.255439725,8.655952200077031,0.3704550814534781
5.72,1.2595309,8.68415985874591,0.3722515999084426
5.73,1.26363585,8.7124624926965,0.3740926070394663
5.74,1.267754575,8.740860101928806,0.3759165903896181
5.75,1.2718733,8.76925771116111,0.377773703660467
5.76,1.275992025,8.797655320393416,0.379602317041033
5.77,1.28011075,8.82605292962572,0.3814332384223238
5.78,1.28424325,8.854545514139739,0.3833088666331738
5.79,1.288389525,8.88313307393547,0.3851674806059723
5.8,1.292522025,8.91162565844949,0.3870478565894979
5.81,1.2966683,8.940213218245221,0.3889112039095252
5.82,1.30082835,8.968895753322665,0.3907884699290462
5.83,1.3049884,8.99757828840011,0.3926991219321758
5.84,1.30914845,9.026260823477555,0.3945811933301178
5.85,1.3133085,9.054943358555,0.3964966980264588
5.86,1.317482325,9.08372086891416,0.3983951843085601
5.87,1.32165615,9.112498379273317,0.4002960943713004
5.88,1.32584375,9.141370864914188,0.4022421556799098
5.89,1.33003135,9.170243350555062,0.4041595887610853
5.9,1.33421895,9.199115836195933,0.406079476415126
5.91,1.338420325,9.228083297118518,0.4080446460187448
5.92,1.3426217,9.257050758041103,0.4099811540489001
5.93,1.346823075,9.286018218963688,0.411920147726186
5.94,1.351038225,9.315080655167986,0.4139045549351545
5.95,1.355253375,9.344143091372285,0.4158602671627621
5.96,1.3594823,9.373300502858298,0.4178302146019641
5.97,1.36369745,9.402362939062597,0.4198222716271856
5.98,1.367926375,9.431520350548608,0.4217973184078552
5.99,1.372169075,9.460772737316333,0.4237866680908706
6.0,1.376411775,9.49002512408406,0.4258099550114368
6.01,1.38066825,9.519372486133499,0.4278162584064166
6.02,1.3849385,9.548814823464651,0.4298369573274762
6.03,1.38920875,9.578257160795802,0.4318917161805368
6.04,1.393479,9.607699498126953,0.4339177035984513
6.05,1.39774925,9.637141835458106,0.435946328280844
6.06,1.4020195,9.666584172789259,0.438009087416011
6.07,1.40628975,9.696026510120412,0.4400430169151175
6.08,1.41056,9.725468847451564,0.4420795918265961
6.09,1.41483025,9.754911184782715,0.4441503758744752
6.1,1.4191005,9.784353522113868,0.4461922719678759
6.11,1.42337075,9.813795859445019,0.4482368216441979
6.12,1.427641,9.843238196776172,0.4503156553037538
6.13,1.43191125,9.872680534107324,0.4523655425726746
6.14,1.43631925,9.90307262425561,0.4545374759933082
6.15,1.4405895,9.932514961586762,0.4565928129258697
6.16,1.44485975,9.961957298917914,0.4586825347208865
6.17,1.44926775,9.9923493890662,0.4608629921948424
6.18,1.453538,10.021791726397353,0.4629264854657644
6.19,1.457946,10.05218381654564,0.4651444539450044
6.2,1.46221625,10.081626153876792,0.4672134476917209
6.21,1.46662425,10.112018244025077,0.4694053902989245
6.22,1.4708945,10.14146058135623,0.4715117274537749
6.23,1.4753025,10.171852671504515,0.4737094421438462
6.24,1.47957275,10.201295008835668,0.475789448976724
6.25,1.48398075,10.231687098983954,0.478024847159936
6.26,1.48838875,10.26207918913224,0.4802312958970247
6.27,1.492659,10.291521526463391,0.482319660804799
6.28,1.497067,10.321913616611678,0.4845638800605023
6.29,1.501475,10.352305706759964,0.4867790903049021
6.3,1.505883,10.382697796908252,0.4889972628857219
6.31,1.510291,10.413089887056538,0.4912504621336128
6.32,1.51456125,10.44253222438769,0.4933529069518148
6.33,1.51896925,10.472924314535975,0.4955798778822122
6.34,1.52337725,10.503316404684261,0.4978419539760339
6.35,1.52778525,10.533708494832547,0.500074900958544
6.36,1.53219325,10.564100584980833,0.5023108290381072
6.37,1.53660125,10.59449267512912,0.5045819418098595
6.38,1.54100925,10.624884765277407,0.5068238649324899
6.39,1.54541725,10.655276855425692,0.5091010258720747
6.4,1.549963,10.686618698391111,0.5114716938635024
6.41,1.554371,10.717010788539397,0.513722753449932
6.42,1.558779,10.747402878687684,0.5160091315421653
6.43,1.563187,10.777794968835972,0.5182662182096363
6.44,1.567595,10.808187058984258,0.5205263114568619
6.45,1.57214075,10.839528901949677,0.5229452073870345
6.46,1.57654875,10.869920992097963,0.5252114792876563
6.47,1.58095675,10.900313082246248,0.5275132040158907
6.48,1.5855025,10.931654925211669,0.5299093431252412
6.49,1.5899105,10.962047015359955,0.5321848297778301
6.5,1.59445625,10.993388858325375,0.5346199302403463
6.51,1.59886425,11.023780948473663,0.5369016287349196
6.52,1.60341,11.055122791439082,0.539343267956542
6.53,1.607818,11.085514881587368,0.5416311916726981
6.54,1.61236375,11.116856724552788,0.544079383650339
6.55,1.61677175,11.147248814701074,0.5463735459936387
6.56,1.6213175,11.178590657666494,0.5488283047512841
6.57,1.62586325,11.209932500631915,0.551253757014036
6.58,1.63027125,11.240324590780201,0.5535573576249139
6.59,1.634817,11.27166643374562,0.556022050797304
6.6,1.63936275,11.303008276711042,0.558457375584632
6.61,1.6439085,11.334350119676461,0.5609288113880572
6.62,1.6483165,11.364742209824746,0.5632451047673956
6.63,1.65286225,11.396084052790167,0.5657231570427937
6.64,1.657408,11.427425895755587,0.5681717580207845
6.65,1.66195375,11.458767738721006,0.5706565820237818
6.66,1.6664995,11.490109581686427,0.573144809724354
6.67,1.67104525,11.521451424651847,0.5756035233447482
6.68,1.675591,11.552793267617268,0.5780985448991602
6.69,1.68013675,11.584135110582688,0.5805640104379437
6.7,1.6846825,11.615476953548107,0.5830658406209522
6.71,1.68922825,11.646818796513527,0.5855380727934769
6.72,1.693774,11.678160639478946,0.5880467264088658
6.73,1.69831975,11.709502482444368,0.5905257399594251
6.74,1.70300325,11.741794078226922,0.5931686596909702
6.75,1.707549,11.773135921192342,0.5956877311945079
6.76,1.71209475,11.804477764157763,0.5981770988392331
6.77,1.7166405,11.835819607123181,0.6007030312141319
6.78,1.721324,11.868111202905736,0.6033604155810179
6.79,1.72586975,11.899453045871155,0.6058601715680624
6.8,1.7304155,11.930794888836576,0.6083965788896795
6.81,1.735099,11.96308648461913,0.6110648840649543
6.82,1.73964475,11.99442832758455,0.6135750627446376
6.83,1.74432825,12.026719923367104,0.6162507095658284
6.84,1.748874,12.058061766332525,0.6188012414541486
6.85,1.75341975,12.089403609297944,0.621321877279245
6.86,1.75810325,12.121695205080497,0.6240085049360647
6.87,1.76278675,12.153986800863052,0.6266989093436437
6.88,1.7673325,12.185328643828472,0.6292301805155379
6.89,1.772016,12.217620239611026,0.6319279751931256
6.9,1.77656175,12.248962082576446,0.634499798663584
6.91,1.78124525,12.281253678359,0.6372050257233264
6.92,1.78592875,12.313545274141555,0.6398804999968215
6.93,1.7904745,12.344887117106975,0.6424630947851715
6.94,1.795158,12.37717871288953,0.645179550645829
6.95,1.7998415,12.409470308672082,0.6478998167054044
6.96,1.804525,12.441761904454635,0.6506238972270241
6.97,1.8092085,12.47405350023719,0.6533181171833327
6.98,1.81375425,12.50539534320261,0.6559188580461301
6.99,1.81843775,12.537686938985164,0.6586542299190625
7.0,1.82312125,12.569978534767719,0.6613934331735479
7.01,1.82780475,12.602270130550274,0.6641364720941403
7.02,1.83248825,12.634561726332826,0.6668833509697263
7.03,1.83717175,12.666853322115381,0.669634074093526
7.04,1.84185525,12.699144917897936,0.672388645763101
7.05,1.84653875,12.731436513680489,0.6751470702803557
7.06,1.85122225,12.763728109463042,0.6778754387749067
7.07,1.85590575,12.796019705245596,0.6806415557381411
7.08,1.860727,12.829261053845284,0.6835440165751403
7.09,1.8654105,12.86155264962784,0.6863180225877885
7.1,1.870094,12.893844245410392,0.6890959031602859
7.11,1.8747775,12.926135841192947,0.6918776626208233
7.12,1.879461,12.958427436975501,0.6946633053019619
7.13,1.88428225,12.99166878557519,0.6975860869776819
7.14,1.88896575,13.023960381357744,0.7003796631217027
7.15,1.89364925,13.056251977140297,0.7031771356686373
7.16,1.8984705,13.089493325739985,0.7061464067436621
7.17,1.903154,13.121784921522538,0.7089518660160714
7.18,1.9078375,13.154076517305093,0.7117612349344907
7.19,1.91265875,13.187317865904781,0.7147087079366847
7.2,1.91734225,13.219609461687334,0.7175260642129693
7.21,1.9221635,13.252850810287022,0.7204818493060612
7.22,1.926847,13.285142406069577,0.7233072110729266
7.23,1.93166825,13.318383754669265,0.7262713270681946
7.24,1.93635175,13.35067535045182,0.7291391045618846
7.25,1.941173,13.383916699051507,0.7321115976321774
7.26,1.9458565,13.416208294834062,0.7349530514904348
7.27,1.95067775,13.44944964343375,0.7379339132439696
7.28,1.955499,13.482690992033437,0.7409190474576678
7.29,1.9601825,13.51498258781599,0.7438072039519463
7.3,1.96500375,13.548223936415678,0.746800762853857
7.31,1.969825,13.581465285015366,0.7497986088022075
7.32,1.9745085,13.61375688079792,0.7526644816269085
7.33,1.97932975,13.646998229397608,0.755705389937498
7.34,1.984151,13.680239577997297,0.7587159910224536
